download_count,project
58300252,"google-cloud-os-login"
58255431,"crashtest"
57921952,"safetensors"
57825392,"backports-tarfile"
57756332,"mistune"
57637967,"beartype"
57452766,"types-pyyaml"
57376108,"onnxruntime"
57267102,"types-protobuf"
56938805,"deprecation"
56842594,"pendulum"
56780254,"lark"
56725623,"croniter"
56606095,"argcomplete"
56547087,"poetry-plugin-export"
56469149,"requests-file"
56444629,"tomli-w"
56287140,"ujson"
56222892,"typeguard"
56163366,"psycopg-binary"
56081054,"jsonpath-ng"
56073620,"shapely"
55942234,"cleo"
55504533,"nbformat"
55355631,"langchain-openai"
55340571,"datadog"
55250622,"opentelemetry-instrumentation-threading"
55173182,"bleach"
55087913,"fastmcp"
54741812,"griffelib"
54611980,"pypdf"
54603870,"graphql-core"
54546510,"wsproto"
54516924,"opentelemetry-exporter-prometheus"
54460519,"google-cloud-run"
54390460,"opentelemetry-instrumentation-fastapi"
54311847,"typedload"
54264647,"smart-open"
53876508,"google-ads"
53837361,"google-cloud-memcache"
53698106,"faker"
53488167,"ipython-pygments-lexers"
53462464,"fastuuid"
52974816,"azure-common"
52928409,"future"
52573459,"argon2-cffi-bindings"
52561311,"argon2-cffi"
52501997,"backports-zstd"
52464399,"setproctitle"
52396366,"xlrd"
52160089,"mmh3"
52152777,"google-cloud-bigquery-datatransfer"
51768215,"triton"
51705689,"google-cloud-orchestration-airflow"
51667262,"google-cloud-dataproc-metastore"
51388124,"numba"
50937742,"uuid-utils"
50498950,"llvmlite"
50489385,"opentelemetry-instrumentation-asgi"
50205327,"sqlglot"
49965648,"plotly"
49862948,"pywin32"
49841340,"cbor2"
49450177,"simplejson"
49417714,"nbconvert"
49222321,"python-docx"
49205644,"nltk"
49151903,"google-cloud-resource-manager"
48876058,"zope-interface"
48810710,"py"
48774343,"types-toml"
48266978,"pysocks"
48227111,"colorlog"
48119577,"pycryptodomex"
48055944,"scramp"
48008715,"google-cloud-automl"
47612819,"dacite"
47306415,"responses"
47285761,"py-key-value-aio"
46924213,"notebook"
46599762,"ray"
46462519,"aiosqlite"
46328916,"tree-sitter-languages"
45922997,"pyflakes"
45913701,"nbclient"
45894440,"google-cloud-dataflow-client"
45870439,"pytest-timeout"
45198959,"pbs-installer"
44646873,"libcst"
44238622,"prettytable"
44112955,"uncalled-for"
43814292,"json5"
43776557,"orderly-set"
43705140,"toolz"
43466831,"confluent-kafka"
43374742,"elasticsearch"
43172721,"humanize"
43088668,"async-lru"
43065683,"selenium"
42965834,"pandocfilters"
42878900,"jupyterlab-pygments"
42593356,"types-certifi"
42579447,"langgraph"
42574090,"jupyter-server"
42430494,"azure-keyvault-secrets"
42010755,"polars"
41961582,"portalocker"
41943394,"opensearch-py"
41774919,"click-plugins"
41678846,"altair"
41431445,"kombu"
41242063,"types-python-dateutil"
41212362,"antlr4-python3-runtime"
41136290,"cwsandbox"
41034732,"flake8"
40915469,"celery"
40890734,"ecdsa"
40839228,"findpython"
40795108,"aws-sam-translator"
40684840,"grpclib"
40672649,"gevent"
40656773,"jupyterlab"
40518281,"flask-cors"
40111360,"absl-py"
39715795,"ghapi"
39659742,"openapi-pydantic"
39454892,"pymssql"
39240445,"pyspark"
39012378,"iso8601"
38697166,"redshift-connector"
38677519,"trio"
38560748,"astroid"
38472944,"aiofile"
38230505,"types-awscrt"
38181825,"humanfriendly"
38161476,"webcolors"
38068057,"mysql-connector-python"
38056361,"django"
37909240,"caio"
37829694,"nvidia-nccl-cu12"
37770865,"botocore-stubs"
37738202,"overrides"
37656040,"opencv-python"
37589270,"inflection"
37490887,"vine"
37438190,"amqp"
37365018,"synchronicity"
37273677,"billiard"
37262528,"modal"
37085958,"google-cloud-appengine-logging"
37011705,"outcome"
36905955,"langgraph-prebuilt"
36820266,"pylint"
36520075,"openapi-spec-validator"
36417098,"pdfminer-six"
36235231,"pinotdb"
36221671,"click-didyoumean"
36105181,"send2trash"
36050338,"cohere"
36025318,"click-repl"
35899137,"isoduration"
35893470,"fqdn"
35878418,"google-cloud-spanner"
35677781,"ijson"
35625046,"psycopg2"
35613289,"uri-template"
35611713,"types-s3transfer"
35542611,"apache-airflow-providers-common-sql"
35541878,"pyhumps"
35539890,"pyiceberg"
35194226,"reportlab"
35124322,"langchain-community"
34929985,"gcloud-aio-storage"
34734879,"ply"
34680552,"google-cloud-bigquery-storage"
34666422,"unidiff"
34642385,"rfc3986-validator"
34557512,"db-dtypes"
34541925,"graphviz"
34433075,"pydantic-extra-types"
34419958,"pypdfium2"
34396363,"fastcore"
34313420,"tox"
34308216,"langgraph-checkpoint"
34295342,"langchain-text-splitters"
34071431,"widgetsnbextension"
34022737,"fastavro"
34011886,"jupyter-events"
34008298,"lazy-object-proxy"
33960425,"requests-aws4auth"
33948783,"markdownify"
33914717,"adal"
33789536,"cuda-bindings"
33788384,"xgboost"
33738624,"jupyterlab-widgets"
33667902,"ipywidgets"
33642498,"python-telegram-bot"
33513985,"universal-pathlib"
33508882,"seaborn"
33455801,"cuda-pathfinder"
33420411,"google-cloud-audit-log"
33270554,"nh3"
33269081,"pydantic-ai"
33256523,"aenum"
33170104,"pyodbc"
33114005,"gcloud-aio-auth"
33091247,"duckdb"
33008490,"terminado"
32941598,"pg8000"
32928583,"jupyter-server-terminals"
32856725,"tableauserverclient"
32816854,"ormsgpack"
32782227,"msgspec"
32767842,"langgraph-sdk"
32761012,"jupyterlab-server"
32728083,"google-cloud-container"
32713143,"ordered-set"
32625570,"zeep"
32570646,"python-jose"
32473002,"semantic-version"
32433024,"rich-click"
32336655,"gspread"
32084154,"boto3-stubs"
32076070,"diskcache"
32062175,"fastapi-cli"
31994015,"pyrsistent"
31940765,"rfc3986"
31680615,"llama-index-indices-managed-llama-cloud"
31576959,"google-cloud-translate"
31499637,"pyarrow-hotfix"
31409004,"polars-runtime-32"
